trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3462,False,"{'a': 0.001, 'e': 0.031398347965993369}",20,11,9.053856474396564,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
3463,False,"{'a': 0.001, 'e': 0.0313669653119696}",25,16,15.121408114276697,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3464,False,"{'a': 0.001, 'e': 0.03133561402491377}",25,17,15.911303672367074,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3465,False,"{'a': 0.001, 'e': 0.031304294073474577}",20,12,15.265459480292114,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3466,False,"{'a': 0.001, 'e': 0.031273005426332059}",20,16,8.062606817496473,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3467,False,"{'a': 0.001, 'e': 0.031241748052197565}",20,16,8.493493328121318,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3468,False,"{'a': 0.001, 'e': 0.031210521919813744}",20,6,21.598228956850697,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3469,False,"{'a': 0.001, 'e': 0.031179326997954438}",25,19,10.615785990153384,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3470,False,"{'a': 0.001, 'e': 0.03114816325542473}",20,16,8.143082616652142,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3471,False,"{'a': 0.001, 'e': 0.031117030661060859}",20,0,12.532864234066066,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
